lokasi,judul,harga_bersih,kamar_tidur,kamar_mandi,luas_tanah_m2,luas_bangunan,tanggal_clean,kecamatan
"Dieng, Malang",Spesifikasi: LT 330 m2 LB 350 m2  2 lantai Kamar tidur 4 Kamar mandi 4 Listrik 4400 Watt Air PDAM Hadap selatan dan timur Carport 3 SHM + IMB  Harg...,3500000000.0,4.0,4.0,330.0,350.0,2026-04-13,Sukun
"Klojen, Malang",Daerah Gunung-Gunung Lokasi strategis dan rumah luas. cocok untuk restoran/cafe  ar wel,13500000000.0,4.0,2.0,543.0,267.0,2026-04-13,Klojen
"Sawojajar, Malang",RUMAH BARU GRESS DI SENTANI SAWOJAJAR MALANG Jual Rumah DANAU SENTANI - Malang LT 150 LB 117 KT 3 KM 2 Dimensi 10 x 15 Listrik 1300 Rp 1.450.000.00...,1450000000.0,3.0,2.0,150.0,117.0,2026-04-13,Blimbing
"Lowokwaru, Malang",Dijual Rumah di Jl. Papa Papa Lowokwaru - Kota Malang Dekat UB & Polinema  Spesifikasi: Legalitas: SHM Jumlah Lantai: 2 Lantai (+ jemuran lantai 3)...,3450000000.0,5.0,3.0,273.0,500.0,2026-04-13,Lowokwaru
"Sawojajar, Malang",Dijual Rumah 2 Lt Siap Huni Dekat Exit Tol di Sawojajar Malang  Dijual Rumah 2 Lantai Siap Huni dekat Exit Tol di Sawojajar Kota Malang Spesifikasi...,2700000000.0,3.0,2.0,240.0,180.0,2026-04-13,Blimbing
"Sawojajar, Malang","DIJUAL RUMAH BARU - SIAP HUNI  Sawojajar 1, Kota Malang  Hunian nyaman dengan pondasi kuat hingga 3 lantai, lokasi strategis dan investasi menjanji...",1450000000.0,3.0,2.0,150.0,150.0,2026-04-13,Blimbing
"Blimbing, Malang",Dijual Rumah 2 Lantai Siap Huni dengan Private Pool dekat Kampus UMM di Ampeltendo Karangploso Malang*  Spesifikasi  - Sertifikat : SHM - Luas Tana...,1500000000.0,4.0,3.0,144.0,200.0,2026-04-13,Blimbing
"Oro-Oro Dowo, Malang","Dijual rumah mewah di daerah Oro Oro Dowo Malang  Luas 502 m2 dan memiliki 7 kamar tidur Ada fasilitas kolam renang Lokasi nyaman, akses mudah, dek...",6000000000.0,7.0,4.0,502.0,1000.0,2026-04-13,Klojen
"Blimbing, Malang","RUMAH STRATEGIS DEKAT KAMPUS UB - SIAP HUNI!    Lokasi: Jl. Ikan"" Borobudur (area favorit dekat kampus)   Harga: 950 Juta (nego tipis)   Spesifikas...",950000000.0,3.0,3.0,158.0,150.0,2026-04-13,Blimbing
"Klojen, Malang","Rumah Dijual Area Klojen - Lokasi Strategis Tengah Kota Malang  Rumah berada di kawasan premium Klojen, salah satu area favorit di pusat Kota Malan...",2600000000.0,3.0,2.0,407.0,180.0,2026-04-13,Klojen
"Lowokwaru, Malang","Rumah Jual Dekat Soekarno Hatta dan Belakang Kampus ASIA, dekat Kampus Widyagama, Polinema, Univ. Brawijaya, Kuliner Suhat, RS UB dan RSIA Permata ...",1750000000.0,3.0,2.0,157.0,100.0,2026-04-13,Lowokwaru
"Blimbing, Malang","Rumah Murah di Perumahan Elit Blimbing - Pinggir Jalan Poros, Akses Super Strategis!  Kesempatan langka punya rumah di kawasan elit dengan harga me...",1500000000.0,4.0,2.0,300.0,210.0,2026-04-13,Blimbing
"Blimbing, Malang","Dijual rumah hunian modern minimalis Area Perumahan Tasikmadu Blimbing. Lokasi dekat dengan SMP/SMA Sabilillah, 15 menit dari Kampus Brawijaya, Pol...",900000000.0,4.0,2.0,84.0,120.0,2026-04-13,Blimbing
"Klojen, Malang",LT 590 m²  LB 400 m²  KT 10 KM 4 SHM  	⁃	Dekat dengan MOG 	⁃	Dekat dengan Jl. Kawi 	⁃	Dekat dengan RS Hermina 	⁃	Dekat dengan Stadion Gaj...,19900000000.0,10.0,4.0,590.0,400.0,2026-04-13,Klojen
"Klojen, Malang",LT 590 m²  LB 400 m²  KT 10 KM 4 SHM  	⁃	Dekat dengan MOG 	⁃	Dekat dengan Jl. Kawi 	⁃	Dekat dengan RS Hermina 	⁃	Dekat dengan Stadion Gaj...,19900000000.0,10.0,4.0,590.0,400.0,2026-04-13,Klojen
"Blimbing, Malang","Rumah Semifurnished, Minimalis Modern Di Daerah Ikan- Blimbing  Bangunan terawat dan siap huni  Lokasi dekat ke - kampus ub - kampus polinema - sma...",680000000.0,2.0,2.0,82.0,40.0,2026-04-13,Blimbing
"Lowokwaru, Malang","Dijual rumah nyaman di daerah Lowokwaru  Lokasi dekat dengan berbagai fasilitas publik, hanya 15 menit dari kampus Universitas Brawijaya dan hanya ...",2300000000.0,4.0,3.0,200.0,150.0,2026-04-13,Lowokwaru
"Araya, Malang",DIJUAL RUMAH BARU MODERN SIAP HUNI HARGA MIRING   Lokasi : PERUMAHAN ELITE  ARAYA PBI  KOTA MALANG   LOKASI BLOK DEPAN   KAWASAN HUNIAN PERUMAHAN ...,1900000000.0,4.0,3.0,144.0,160.0,2026-04-13,Blimbing
"Araya, Malang",DIJUAL RUMAH BARU MODERN SIAP HUNI HARGA MIRING   Lokasi : PERUMAHAN ELITE  ARAYA PBI  KOTA MALANG   LOKASI BLOK DEPAN   KAWASAN HUNIAN PERUMAHAN ...,1900000000.0,4.0,3.0,144.0,160.0,2026-04-13,Blimbing
"Lowokwaru, Malang","(RKS667) Lokasi Hanya Selangkah Ke Suhat (Pusat Pendidikan, Bisnis Dan Kuliner Kota Malang)  Passive Income 1,7 - 2jt-An / Bulan  Token Listrik Uta...",3590000000.0,18.0,19.0,162.0,300.0,2026-04-13,Lowokwaru
"Lowokwaru, Malang",Spesifikasi: LT : 408 m2 LB : 280 m2 Bangunan 2 Lantai + basement Kamar Tidur 5 + 1 Kamar Mandi 3 Musholla  Ruang Kerja Pribadi Service area + Area...,4000000000.0,5.0,3.0,408.0,280.0,2026-04-13,Lowokwaru
"Sukun, Malang","Rumah di Sukun.  Temukan rumah 2 lantai yang asri ini,  dijual dengan pemandangan asri yang menambah nilai estetika di lingkungan hunian. Rumah ini...",3000000000.0,8.0,4.0,390.0,750.0,2026-04-13,Sukun
"Araya, Malang","Selling point: Dekat Plaza Araya Dekat Binus, SMP Al Kautsar dll Dekat KDS Restaurant  Dekat Taman Indie Dekat Beauty Clinic, Lapangan padel, golf,...",1700000000.0,3.0,1.0,190.0,90.0,2026-04-13,Blimbing
