lokasi,judul,harga_bersih,kamar_tidur,kamar_mandi,luas_tanah_m2,luas_bangunan,tanggal_clean,kecamatan
"Kedungkandang, Malang","RUMAH DIJUAL - SIAP HUNI & SIAP BALIK NAMA!   Perumahan Bulan Terang Utama - Kota Malang   Harga: Rp 430 Juta (Nego)   Rumah nyaman, lokasi strateg...",430000000.0,2.0,1.0,65.0,40.0,2026-04-13,Kedungkandang
"Sawojajar, Malang",Spesifikasi:  SHM LT 240 m2 Dimensi 12x20 LB 180 m2 Kamar Tidur 3 Kamar Mandi 2 Listrik  2300 PDAM Hadap Barat Carport 2  Selling Point: - Selangka...,2700000000.0,3.0,2.0,240.0,180.0,2026-04-13,Blimbing
"Dieng, Malang","Direct Buyer Only, no co broke  *Jual Rumah Bagus ISTANA DIENG, MALANG*  Selling point: - Asri - Aesthetic  - Siap Huni - Kamar Banyak  2 lantai SH...",22000000000.0,6.0,6.0,884.0,475.0,2026-04-13,Sukun
"Dieng, Malang","Spesifikasi: LT 378m2 Dimensi 12m x 31,5m LB 100m2 Bangunan 1 Lantai Kamar Tidur 2 Kamar Mandi 2+1 Carport 4 Mobil Listrik 5500 watt Air Artesis Ha...",2900000000.0,2.0,2.0,378.0,30.0,2026-04-13,Sukun
"Araya, Malang",DIJUAL Rumah Elegan 2 Lantai di Greenwood Araya Malang  Spesifikasi : LT : 300 m2 LB : 450 m2 Lantai : 2 KT : 5 + 2 KM : 4 + 1 Listrik : 12.500 VA ...,5200000000.0,5.0,4.0,300.0,450.0,2026-04-13,Blimbing
"Blimbing, Malang","Rumah Baru Bagus, Desain Minimalis Modern Lokasi Di PBI Araya  Bangunan terawat dan lokasi strategis  Lokasi dekat ke - kampus binus - plaza dieng ...",1900000000.0,4.0,3.0,145.0,145.0,2026-04-13,Blimbing
"Araya, Malang",2 Lantai LT 872 m² LB 600 m² Surat HGB Perabotan Non Furnished Posisi Hook (corner)  Harga Jual (Rp) 12.500.000.000 Total  Please contact me Rich...,12500000000.0,4.0,1.0,872.0,600.0,2026-04-13,Blimbing
"Kedungkandang, Malang",Aset Property Lelang Powered by Bank Mandiri,555000000.0,2.0,1.0,90.0,38.0,2026-04-13,Kedungkandang
"Lowokwaru, Malang","Rumah JUAL Akses ke Kampus Brawijaya, Polinema dan Kampus Ternama Lainnya. Row Jalan Lebar (2 Mobil) Dekat Kawasan Soehat, SMAN 7, Rumah Sakit, Kli...",795000000.0,2.0,2.0,74.0,54.0,2026-04-13,Lowokwaru
"Sukun, Malang","Rumah Jual Dekat Kampus UNIKAMA, Pasar Sukun, Bimasakti, 10 Menit ke Alun-Alun, Pasar Besar, 15 Menit ke Univ Brawijaya  Spesifikasi : Sertifikat :...",850000000.0,3.0,1.0,102.0,90.0,2026-04-13,Sukun
"Lowokwaru, Malang","Rumah Jual Area Lowokwaru Dekat Kuliner Dewandaru, Pertokoan Kalpataru, Kuliner Soehat, Indomaret Fresh Akses Mudah Ke Kampus UB, Polinema, ASIA Co...",3500000000.0,4.0,3.0,308.0,200.0,2026-04-13,Lowokwaru
